Code,FLEET NO.,REG NO.,OLB NO.,EXPIRY DATE,NOTE
AG,4605,CA371713,507659/4,,
AG,4606,CA371967,506714/4,,
AG,4607,CA371979,507993/5,,
AG,4608,CA372063,507759/4,,
,4609,CA372108,SCRAPPED,25/08/2023,
,4610,CA586025,SCRAPPED,10/06/2016,
AG,4611,CA586116,507749/4,,
AG,4612,CA587320,504027/4,,
AG,4613,CA586150,507606/4,,
,4614,CA586218,SCRAPPED,08/08/2019,
AG,4615,CA586745,1784732/4,30/09/2029,
AG,4616,CA586896,504244/2,,
AG,4617,CA586982,504222/5,,
AG,4618,CA54307,507648/4,,
AG,4619,CA82801,507480/5,,
A,4620,CA62100,504180/2,,
A,4621,CA62159,504126/4,,
A,4622,CA62193,503907/4,,
A,4623,CA62229,507406/4,,
A,4624,CA62238,506054/4,,
A,4625,CA62272,507651/4,,
A,4626,CA62438,503989/4,,
A,4627,CA62621,503912/4,,
A,4628,CA62623,503963/4,,
A,4629,CA341626,503935/4,,
A,4630,CA417972,507974/4,,
A,4631,CA418103,507691/4,,
A,4632,CA415184,503885/2,,
A,4633,CA518591,507670/2,,
A,4634,CA40145,507685/4,,
A,4635,CA907331,507531/4,,
,4636,CA907368,SCRAPPED,20/07/2020,
A,4637,CA907515,504193/4,,
A,4638,CA907521,507733/4,,
,4639,CA907455,SCRAPPED,02/03/2023,
A,4640,CA907549,507580/2,,
A,4641,CA907388,507501/2,,
A,4642,CA907589,503857/2,,
A,4643,CA907685,507640/3,,
A,4644,CA907418,507518/4,,
A,4645,CA929190,507437/5,,
A,4646,CA929197,507692/2,,
A,4647,CA929206,506050/5,,
A,4648,CA929228,503969/2,,
A,4649,CA929242,507543/4,,
,4650,CA929262,SCRAPPED,02/02/2018,
A,4651,CA929320,507637/5,,
A,4652,CA929355,507682/5,,
A,4653,CA929391,507436/5,,
A,4654,CA929420,507609/5,,
A,4655,CA942820,503994/2,,
A,4656,CA942823,506408/4,,
A,4657,CA942826,503893/4,,
A,4658,CA942828,503952/4,,
A,4659,CA942831,507552/3,,
A,4660,CA942836,506052/4,,
A,4661,CA942843,507491/3,,
A,4662,CA942853,504119/2,,
,4663,CA942856,SCRAPPED,13/10/2021,
A,4664,CA942859,503832/2,,
A,4665,CA950594,507669/2,,
A,4666,CA950531,504981/2,,
A,4667,CA950558,507705/4,,
A,4668,CA950550,507550/4,,
A,4669,CA950561,507551/3,,
,4670,CA950566,SCRAPPED,08/10/2020,
A,4671,CA950569,506406/4,,
A,4672,CA950572,504189/4,,
A,4673,CA950576,503758/3,,
A,4674,CA950580,504157/3,,
A,4675,CA960366,503919/5,,
A,4676,CA960379,507728/2,,
A,4677,CA960390,507721/5,,
A,4678,CA960397,506713/4,,
A,4679,CA960400,503815/1,,
A,4680,CA960404,506708/4,,
A,4681,CA960412,504141/2,,
A,4682,CA960418,503966/4,,
A,4683,CA960422,507969/4,,
A,4684,CA960427,506097/3,,
A,4685,CA686201,507668/2,,
A,4686,CA247119,1523240/1,,
A,4687,CA252753,507479/4,,
A,4688,CA255349,503830/3,,
A,4689,CA262321,503812/5,,
A,4690,CA273057,503967/4,,
A,4691,CA277937,507524/4,,
A,4692,CA284014,1583344/3,,
A,4693,CA285783,SCRAPPED,07/12/2020,
A,4694,CA290196,507403/2,,
A,4695,CA324248,507615/6,,
A,4696,CA330244,503962/4,,
A,4697,CA333068,503927/2,,
A,4698,CA338928,506397/4,,
A,4699,CA340136,507425/4,,
A,4700,CA348682,504154/2,,
A,4701,CA356244,503999/4,,
A,4702,CA363237,507686/4,,
A,4703,CA367605,504151/2,,
A,4704,CA373973,507627/2,,
A,4705,CA243580,503818/4,,
A,4706,CA250376,507684/4,,
A,4707,CA280942,504010/4,,
A,4708,CA284848,505073/5,,
A,4709,CA306840,505820/5,,
A,4710,CA334837,506709/4,,
A,4711,CA341110,503878/6,,
A,4712,CA386537,503973/2,,
A,4713,CA400850,504136/2,,
A,4714,CA405635,503924/2,,
A,4715,CA614348,505431/5,,
A,4716,CA584047,507407/4,,
A,4717,CA626408,504130/4,,
A,4718,CA618159,508509/4,,
A,4719,CA600819,507976/4,,VEHICLE COPY IN FILE
,4720,CAA31665,SCRAPPED,25/08/2023,
A,4721,CA98417,507752/4,,
A,4722,CA99876,507663/2,,
A,4723,CA104903,503977/2,,
A,4724,CA118163,503822/2,,
A,4725,CA136251,507661/4,,
A,4726,CA126152,503906/4,,
A,4727,CA142994,503852/5,,
A,4728,CA152324,504003/2,,
A,4729,CA163577,503877/4,,
A,4730,CA395112,504034/2,,
A,4731,CA396583,503826/2,,
A,4732,CA397984,503908/4,,
A,4733,CA400052,503908/4,,
A,4734,CA404327,504211/2,,
A,4735,CA30619,1822621/0,,(507618/4)
A,4736,CA59281,507624/4,,
A,4737,CA797282,503795/2,,
,4738,CAA149825,SCRAPPED,18/08/2023,
A,4739,CA27504,503884/4,,
A,4740,CA170631,507478/4,,
A,4741,CA174574,508569/4,,
A,4742,CA752460,504040/5,,
A,4743,CA94778,503947/5,,
A,4744,CA181907,503869/3,,
A,4745,CA618871,507701/4,,
A,4746,CA625070,504242/2,,
A,4747,CA626270,504986/2,,
A,4748,CA635444,504042/5,,
A,4749,CA633495,503798/2,,
A,4750,CA34619,507473/2,,
A,4751,CAA136553,506403/6,,
A,4752,CAA136558,1876256/3,,
,4753,CAA49631,SCRAPPED,25/11/2019,
A,4754,CA52205,507481/4,,
A,4755,CA159183,507477/4,,
A,4756,CA159642,507569/4,,
A,4757,CA169862,504985/5,,
A,4758,CA177436,503926/5,,
A,4759,CA180138,507504/2,,
A,4760,BU54U5WP,503842/3,,
A,4761,CA774631,503757/2,,
A,4762,CA774645,507500/2,,
A,4763,CA774715,503920/5,,
A,4764,CA774747,504231/4,,
A,4765,CA779208,507187/4,,
A,4766,CA779247,SCRAPPED,09/09/2016,
A,4767,CA779285,507757/4,,
A,4768,CA779319,503827/2,,
A,4769,CA779332,504241/5,,
A,4770,CA797971,SCRAPPED,29/08/2018,
A,4771,CA797963,503816/2,,
A,4772,CA797950,507753/4,,
A,4773,CA797920,504183/5,,
A,4774,CA797887,503872/5,,
A,4775,CA42652,507585/4,,
A,4776,CA39792,503853/6,,
A,4777,CA859526,503804/2,,
A,4778,CA859544,503794/2,,
A,4779,CA859557,508021/5,,
A,4780,CA859573,507702/4,,
A,4781,CA558262,1836501/0,,
A,4782,CA561793,503974/4,,
A,4783,CA563067,507681/4,,
A,4784,CA563442,507617/3,,
A,4785,CA567050,507713/4,,
A,4786,CA565468,503943/4,,
A,4787,CA567780,504047/5,,
A,4788,CA881214,604394/2,,
A,4789,CA881192,503828/2,,
A,4790,CA881172,507714/4,,
A,4791,CA881168,508121/4,,
A,4792,CA881165,503978/4,,
A,4793,CA881190,506711/4,,
A,4794,CA881152,505074/5,,
A,4795,CA702912,504239/2,,
A,4796,CA699513,503820/2,,
A,4797,CA683847,507598/5,,
A,4798,CA575664,506717/3,,
A,4799,CA673996,503914/2,,
A,4800,CA671397,507542/3,,
A,4801,CA715100,503783/2,,
A,4802,CA717281,507581/5,,
A,4803,CA922099,507739/2,,
A,4804,CA922142,507623/4,,
A,4805,CA922297,504224/3,,
A,4806,CA922292,509777/2,,
A,4807,CA2742,503767/2,,
A,4808,CA52131,507613/4,,
A,4809,CA559599,503772/6,,
A,4810,CA962072,507712/4,,
A,4811,CA962049,1951722,31/07/2030,
A,4812,CA26313,507442/4,,
A,4813,CA20620,503961/4,,
A,4814,CA80368,503774/3,,
A,4815,CA157121,505435/4,,
A,4816,CA148670,507593/4,,
A,4817,CA123249,506047/2,,
A,4818,CA106839,507583/4,,
A,4819,CA85308,503835/2,,
A,4820,CA202438,507698/3,,
A,4821,CA213692,507426/5,,
A,4822,CA226928,507509/4,,
A,4823,CA2449902,506096/2,,
A,4824,CA255801,507582/2,,
A,4825,CA268052,507700/4,,
A,4826,CA269837,508014/2,,
A,4827,CA277959,507515/4,,
A,4828,CA114444,503889/2,,
A,4829,CA4829,SCRAPPED,19/09/2022,
A,4830,CA40220,503814/1,,
A,4831,CA11413,503883/6,,
A,4832,CA90478,507567/4,,
A,4833,CA96691,507513/3,,
A,4834,CA375992,506095/4,,
A,4835,CA380534,504161/3,,
A,4836,CA33370,1839197/0,,
A,4837,CA9893879,507418/4,,
A,4838,CA983883,507697/4,,
A,4839,CA983884,505017/2,,
AG,4840,CA983885,507561/3,,
AG,4841,CA983888,507529/3,,
AG,4842,CA983893,507555/4,,
AG,4843,CA983894,505016/4,,
AG,4844,CA15672,506724/4,,
AG,4845,CA24034,1841327/0,,
,4846,CA4846,SCRAPPED,13/09/2022,
AG,4847,CA24953,507962/4,,
AG,4848,CA28796,506061/4,,
AG,4849,CA42915,506702/4,,
AG,4850,CA47338,503836/2,,
AG,4851,CA52290,508005/4,,
AG,4852,CCA19264,507554/3,,
AG,4853,CA96730,506410/4,,
AG,4854,CA738291,503859/5,,
AG,4855,CA741586,503834/2,,
AG,4856,CA743628,507731/4,,
,4857,CA767550,SCRAPPED,08/12/2022,
AG,4858,CA767800,507816/4,,
AG,4859,CA769790,503913/4,,
AG,4860,CA990568,503942/5,,
AG,4861,CA990570,503790/2,,
AG,4862,CA990572,503987/5,,
AG,4863,CA990577,507443/5,,
AG,4864,CA990579,503939/5,,
AG,4865,CA990583,503895/6,,
AG,4866,CA990585,507725/3,,
AG,4867,CA990586,503879/5,,
AG,4868,CA88758,503933/2,,
,4869,CA90601,SCRAPPED,28/03/2018,
AG,4870,CA34337,503896/2,,
AG,4871,CA10596,507638/4,,
AG,4872,CA100466,507499/3,,
AG,4873,CA112690,504975/6,,
AG,4874,CA117965,507716/4,,
AG,4875,CA120653,503809/2,,
AG,4876,CA130845,507592/3,,
AG,4877,CA131636,507488/2,,
AG,4878,CA416781,506411/4,,
AG,4879,CA419392,504208/4,,
AG,4880,CA443172,504212/4,,
AG,4881,CA477846,505439/2,,
,4882,CA482647,SCRAPPED,21/06/2021,
AG,4883,CA493694,506053/4,,
AG,4884,CA508138,503823/2,,
AG,4885,CA80949,506399/4,,
AG,4886,CA244458,1773418/3,,
AG,4887,CA240783,1794856/3,31/10/2028,
SG,4888,CA236079,1773405/4,31/08/2029,
SG,4889,CA221822,503808/2,,
SG,4890,CA217361,503958/2,,
SG,4891,CA214648,503934/2,,
SG,4892,CA70932,507738/4,,
SG,4893,CA97198,503888/5,,
SG,4894,CA97233,507653/4,,
SG,4895,CA97949,506402/4,,
,4896,CA4896,SCRAPPED,19/09/2022,
SG,4897,CA99507,504118/4,,
SG,4898,CA100009,503917/5,,
SG,4899,CA61344,1773645/4,31/07/2029,
SG,4900,CA736896,503765/3,,
SG,4901,CA377120,503789/2,,
SG,4902,CA377294,507475/5,,
SG,4903,CA377332,507723/5,,
SG,4904,CA377350,504228/4,,
SG,4905,CA151115,506720/4,,
SG,4906,CA21039,503839/4,,
,4907,CA113344,SCRAPPED,25/05/2022,
SG,4908,CA36419,506707/4,,
SG,4909,CA565188,506058/4,,
SG,4910,CA565023,506057/4,,
SG,4911,CA54359,503819/2,,
SG,4912,CA430575,504037/5,,
SG,4913,CA429584,506407/4,,
SG,4914,CA425661,504013/5,,
SG,4915,CA424543,503847/2,,
SG,4916,CA798,504167/4,,
SG,4917,CA247,503768/2,,
SG,4918,CA89077,507636/3,,
SG,4919,CA85701,504236/5,,
SG,4920,CA752107,503805/2,,
SG,4921,CA54292,507744/4,,
,4922,CA80349,SCRAPPED,13/04/2021,
SG,4923,CA565149,507602/4,,
SG,4924,CA565234,507672/4,,
SG,4925,CA565247,507671/4,,
SG,4926,CA565338,508020/4,,
SG,4927,CA581145,507591/3,,
SG,4928,CA581182,503929/2,,
SG,4929,CA581190,503887/2,,
SG,4930,CA581307,506703/4,,
SG,4931,CA581436,509775/2,,
SG,4932,CA581482,508023/4,,
PH,4933,CA581544,504220/4,,
PH,4934,CA581656,507596/2,,
PH,4935,CA581662,507566/4,,
PH,4936,CA581711,504971/6,,
PH,4937,CA449835,507594/3,,
PH,4938,CA471741,504987/5,,
PH,4939,CA474536,503797/2,,
PH,4940,CA492262,503880/3,,
PH,4941,CA502356,504205/4,,
PH,4942,CA100001,504185/3,,
PH,4943,CA75550,507548/4,,
PH,4944,CA195276,503860/5,,
PH,4945,CA198950,503850/2,,
PH,4946,CA216268,504140/2,,
PH,4947,CA219085,507432/4,,
PH,4948,CA286509,503845/2,,
PH,4949,CA332476,503840/3,,
PH,4950,CA391277,508575/4,,NOT IN FILE ? PERMIT
PH,4951,CA429475,505018/4,,
,4952,CA745751,SCRAPPED,09/07/2019,
PH,4953,CA745891,507715/2,,
PH,4954,CA745908,507431/5,,
PH,4955,CA745934,507649/4,,
PH,4956,CA745949,507736/4,,
PH,4957,CA355262,503807/2,,
PH,4958,CA373334,504155/5,,
PH,4959,CA367534,503956/5,,
PH,4960,CA365287,507603/4,,
PH,4961,CA359592,504160/4,,
PH,4962,CA103567,503916/5,,
PH,4963,CA130899,504122/4,,
PH,4964,CA138481,503801/2,,
PH,4965,CA147663,503846/3,,
PH,4966,CA160625,503984/5,,
PH,4967,CA318588,504170/4,,
AG,4968,CA344193,506433/4,,
AG,4969,CA346774,506434/4,,
AG,4970,CA370838,503856/4,,
AG,4971,CA371156,503866/5,,
AG,4972,CA239686,507961/4,,
AG,4973,CA254530,504016/5,,
,4974,CA259267,SCRAPPED,09/07/2019,
AG,4975,CA280215,504153/2,,
AG,4976,CA302087,507813/5,,
AG,4977,CA751057,503976/2,,
AG,4978,CA661256,507755/3,,
AG,4979,CA673963,503779/4,,
AG,4980,CA685701,503928/4,,
AG,4981,CA690959,503800/2,,
SG,4982,CA22625,507680/3,,
SG,4983,CA22625,507429/3,,
SG,4984,CA871979,504209/4,,
SG,4985,CA872062,SCRAPPED,25/08/2023,
SG,4986,CA872093,503764/3,,
A,5001,CA943766,507430/5,,
A,5002,CA943779,507607/5,,
A,5003,CA943814,504162/4,,
A,5004,CA943836,506395/4,,
A,5005,CA375939,507512/5,,
A,5006,CA383212,504169/3,,
A,5007,CA389107,504245/5,,
A,5008,CA397465,504203/5,,
A,5009,CA993536,1892858/0,,
A,5010,CA4272,504168/3,,
A,5011,CA45786,1893113/0,,
A,5012,CA994459,507573/7,,
A,5013,CA927725,506409/4,,
A,5014,CA928862,504142/3,,
A,5015,CA929474,507553/5,,
A,5016,CA929850,503761/6,,
A,5017,CA192016,504204/5,,
A,5018,CA192585,504238/5,,
A,5019,CA198402,1773452/4,,
A,5020,CA199548,503945/6,,
A,5021,CA99674,1854512/1,,
A,5022,CA99814,507695/5,,
A,5023,CA99822,503865/6,,
A,5024,CA99957,503998/5,,
A,5025,CA39027,506698/4,,
A,5026,CA391009,504230/5,,
A,5027,CA391077,504139/5,,
A,5028,CA391143,507625/3,,
A,5029,CA648170,506715/5,,
A,5030,CA648184,507578/3,,
A,5031,CA648412,504983/4,,
A,5032,CA648556,507420/3,,
A,5033,CA853418,507417/4,,
A,5034,CA853543,505818/6,,
A,5035,CA853831,506412/4,,
A,5036,CA258760,508009/4,,
A,5037,CA258848,507565/5,,
A,5038,CA258886,503849/3,,
A,5039,CA259264,508570/5,,
A,5040,CA260029,507419/5,,
A,5041,CA998858,504201/5,,
A,5042,CA998959,507428/5,,
A,5043,CA99151,503861/3,,
A,5044,CA999255,508013/5,,
A,5045,CA201931,506710/6,,
A,5046,CA202720,508008/4,,
A,5047,CA203784,504215/5,,
A,5048,CA204355,504043/7,,
A,5049,CA204505,507734/6,,
P,5050,CA205020,503775/5,,
P,5051,CA205232,507530/5,,
P,5052,CA361640,507963/5,,
P,5053,CA362517,508012/5,,
P,5054,CA363263,503771/4,,
P,5055,CA363798,508572/5,,
P,5056,CA364555,506722/5,,
,5057,CA364795,SCRAPPED,25/11/2019,
P,5058,CA365593,505433/5,,
P,5059,CA368579,303949/5,,
P,5060,CA371457,507423/5,,
P,5061,CA380487,507417/5,,
P,5062,CA382786,504020/3,,
P,5063,CA384120,506396/5,,
P,5064,CA384502,503769/3,,
P,5065,CA47329,504039/4,,
P,5066,CA780532,507516/2,,
P,5067,CA785588,504023/3,,
P,5068,CA785983,1904605/0,,
P,5069,CA786191,503862/6,,
P,5070,CA787231,508007/5,,
P,5071,CA61386,507631/5,,
P,5072,CA61699,503851/3,,
P,5073,CA61732,503813/4,,
P,5074,CA61852,507965/5,,
P,5075,CA62088,506723/5,,
P,5076,CA323999,1905655/0,30/11/2023,RENEWAL
P,5077,CA131760,1905695/0,30/11/2023,RENEWAL
P,5078,CA132381,1905680/0,30/11/2023,RENEWAL
P,5079,CA324589,1905658/0,30/11/2023,RENEWAL
P,5080,CA132400,1905678/0,30/11/2023,RENEWAL
P,5081,CA18093,504171/6,,
P,5082,CA46924,507967/6,,
P,5083,CA48317,1907451/0,,
P,5084,CAA59676,SCRAPPED,19/08/2019,
P,5085,CA49018,1794851,31/12/2028,
P,5086,CA222764,1907759/0,31/01/2024,
P,5087,CA220818,1907760/0,31/01/2024,
P,5088,CA224842,1907761/0,31/01/2024,
P,5089,CA222319,1907765/0,31/01/2024,
P,5090,CA218678,1907762/0,31/01/2024,
P,5091,CA941919,1908770/0,28/02/2024,
P,5092,CA941994,507704/5,,
P,5093,CA942020,1908766/0,28/02/2024,
P,5094,CA942257,1908772/0,28/02/2024,
P,5095,CA942651,1908771/0,28/02/2024,
P,5096,CA360061,509776/3,,
P,5097,CAA275406,SCRAPPED,31/08/2023,
P,5098,CA362221,503950/6,,
P,5099,CA364063,1899319/2,31/07/2030,PTO
P,5100,CA46387,503784/4,,
S,5101,CAA11778,506045/6,,
S,5102,CAA11780,1907449/1,31/12/2023,
S,5103,CAA11786,504028/5,,
S,5104,CAA11787,504172/6,,
S,5105,CAA11789,508575/5,,
S,5106,CAA21893,507510/4,,
S,5107,CAA21898,503957/6,,
S,5108,CAA21899,506048/5,,
S,5109,CAA21902,1773711/4,31/07/2029,
S,5110,CAA21909,1773718/4,31/08/2029,
SG,5111,CAA44286,503948/6,,
SG,5112,CAA44293,508006/5,,
SG,5113,CAA44296,503941/6,,
SG,5114,CAA44298,504175/6,,
SG,5115,CAA44299,504015/6,,
SG,5116,CAA47949,504117/6,,
SG,5117,CAA47954,507972/6,,
SG,5118,CAA47956,507966/6,,
SG,5119,CAA47959,504176/6,,
SG,5120,CA5121,SCRAPPED,22/09/20,
SG,5121,CAA59688,504225/4,,
SG,5122,CAA59697,505438/5,,
SG,5123,CAA59704,1915424/0,,
SG,5124,CAA59701,1915422/0,31/08/2024,
SG,5125,CAA59704,1915424/0,31/08/2024,
SG,5126,CAA70804,1896618/2,31/08/2027,
SG,5127,CAA70812,504004/6,,
SG,5128,CAA70818,503770/5,,
SG,5129,CAA70825,504018/6,,
SG,5130,CAA70833,1907450/1,31/12/2023,
SG,5131,CA40222,507973/5,,
SG,5132,CAA83544,1863697/2,31/08/2028,
SG,5133,CAA83594,506721/6,,
SG,5134,CAA83556,504121/3,,
SG,5135,CAA83562,503780/3,,
SG,5136,CA46751,503787/3,,
SG,5137,CA53296,507494/4,,
SG,5138,CAA50156,507577/4,,
SG,5139,CAA50308,503781/3,,
SG,5140,CAA50430,507629/3,,
SG,5141,CAA109381,1919121,01/01/2025,
SG,5142,CAA109384,507526/7,,
SG,5143,CAA109390,506394/6,,
SG,5144,CAA109393,18762561/2,14/10/2021,
SG,5145,CAA109398,503786/4,,
SG,5146,CAA121260,503777/5,,
SG,5147,CAA121272,504210/5,,
SG,5148,CAA121296,507654/6,,
SG,5149,CAA121305,504190/6,,
SG,5150,CAA121311,507727/3,,
TG,5151,CA53084,504976/6,,
TG,5152,CAA147853,504219/5,,
TG,5153,CAA147856,503838/4,,
TG,5154,CAA147867,503981/3,,
TG,5155,CAA147882,507584/7,,
TG,5156,CAA147894,507482/3,,
TG,5157,CAA147898,504207/5,,
TG,5158,CAA147902,1784724/5,,
TG,5159,CAA147908,503890/6,,
TG,5160,CAA147917,507558/6,,
TG,5161,CAA157600,507492/3,,
TG,5162,CAA157605,504218/5,,
TG,5163,CAA157609,507658/3,,
TG,5164,CAA157613,508576/6,,
TG,5165,CAA157615,1863701/2,31/08/2028,
TG,5166,CAA165079,507968/6,,
TG,5167,CAA165080,504974/4,,
TG,5168,CAA165081,1863997/2,31/08/2028,
TG,5169,CA26011,1773577/5,31/11/2029,
TG,5170,CA518180,1921889/0,,
TG,5171,CA47951,1571745/5,30/11/2028,
TG,5172,CA57205,1864038/2,31/08/2028,
TG,5173,CAA342160,1863994/2,31/08/2028,
TG,5174,CAA370854,1863699/2,31/08/2028,
TG,5175,CAA348298,1863993/2,31/08/2028,
TG,5176,CA49535,1863991/2,31/08/2028,
AG,5177,CA66664,1805245/3,31/07/2029,
AG,5178,CA54311,1940404,31/08/2029,
AG,5179,CA96135,504213/3,,
AG,5180,CA42419,1863246/2,31/07/2028,
AG,5181,CA19071,1863686/2,31/08/2028,
SG,5182,CA10846,504214/6,,
PH,5183,CA24591,1773800/4,31/07/2029,
SG,5184,CA18177,1773624/4,30/11/2029,
PH,5185,CA30927,507579/7,,
SG,5186,CA44297,1863988/2,31/08/2028,
PH,5187,CA35780,503870/6,,
SG,5188,CA16991,504234/4,,
PH,5189,CA21665,507414/3,,
SG,5190,CA21395,504186/4,,
PH,5191,CA34514,507599/5,,
SG,5192,CA23040,507730/7,,
PH,5193,CAA449745,503763/3,,
SG,5194,CAA449752,505019/3,,
PH,5195,CAA449758,508004/6,,
SG,5196,CAA449759,1946088,28/02/2030,
PH,5197,CAA449762,503979/7,,
SG,5198,CA24885,1946471,28/02/2030,
PH,5199,CA98339,1946470,28/02/2030,
SG,5200,CA28302,1946469,28/02/2030,
PH,5201,CA48573,1946468,28/02/2030,
SG,5202,CA39891,1946467,28/02/2030,
PH,5203,CA11738,1949160,31/05/2030,
SG,5204,CA28329,1949161,01/06/2030,
PH,5205,CA20815,1949157,31/05/2030,
SG,5206,CA86870,1949158,31/05/30,
PH,5207,CA799,1949159,31/05/2030,
,5208,CAA183661,1951726,31/07/2030,
,5209,CAA237491,1951725,31/07/2030,
,5210,CAA237550,1951724,31/07/2030,
,5211,CAA241749,1951723,31/07/2030,
,5212,CAA254486,1951721,31/07/2030,
,5213,CAA102706,1794872/3,31/10/2028,
,5214,CAA108408,1794871/3,31/01/2029,
,5215,CAA114861,1794874/3,31/01/2029,
,5216,CAA132452,1805240/3,31/07/2029,
,5217,CAA138372,1804961/3,31/08/2029,
,5218,CAA495104,1805247/3,31/10/2029,
,5219,CAA495108,1784734/4,30/09/2029,
,5220,CAA495110,1784722/4,30/09/2029,
,5221,CAA495115,1794848/3,31/10/2028,
,5222,CAA495133,1794876/3,31/12/2028,
,5223,CAA33164,1773765/4,31/10/2029,
,5224,CA47962,1896617/2,31/08/2027,
,5225,CA53072,1794863/4,30/09/2028,
,5226,CA89858,1951727/1,31/07/2030,
,5227,CA92524,1805235/3,31/07/2029,